rank,subset_tags,title,year,venue,authors,doi,url,openalex_id,cited_by_count,query_hits,first_query,relevance_score,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_snippet
430,landscape_1000,"Prehensile Manipulation Planning: Modeling, Algorithms and Implementation",2021,IEEE Transactions on Robotics,Florent Lamiraux; Joseph Mirabel,https://doi.org/10.1109/tro.2021.3130433,https://openalex.org/W4205757878,https://openalex.org/W4205757878,21,2,contact constraints manipulation planning,47.991,Prehensile tail; Planner; Motion planning; Computer science; Humanoid robot; Variety (cybernetics); Constraint (computer-aided design); Graph; Software; Path (computing); Constraint programming; Algorithm,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Sampling-based motion planning with constraint projection or rejection.,continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,This article presents a software platform tailored for prehensile manipulation planning named humanoid path planner. The platform implements an original way of modeling manipulation planning through a constraint graph that represents the numerical constraints that define the manipulation problem. We propose an extension of the RRT algorithm to manipulation planning that is able to solve a large variety of problems. We provide replicable experimental results via a docker image that readers may download to run the experimental results by themselves.
431,landscape_1000,Dimensionality reduction for hand-independent dexterous robotic grasping,2007,,Matei Ciocarlie; Corey Goldfeder; Peter Allen,https://doi.org/10.1109/iros.2007.4399227,https://openalex.org/W2138983671,https://openalex.org/W2138983671,218,1,robot planning constraints,47.9891,Dimensionality reduction; GRASP; Curse of dimensionality; Kinematics; Computer science; Planner; Robotic hand; Artificial intelligence; Reduction (mathematics); Variety (cybernetics); Robot; Space (punctuation),"Improve planning for embodied agents under physical, semantic, or learned constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",the planner's constraint set is either known or discoverable during ordinary search,object affordances/contact modes,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,the broad claim that robot planning benefits from explicit constraints,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"In this paper, we build upon recent advances in neuroscience research which have shown that control of the human hand during grasping is dominated by movement in a configuration space of highly reduced dimensionality. We extend this concept to robotic hands and show how a similar dimensionality reduction can be defined for a number of different hand models. This framework can be used to derive planning algorithms that produce stable grasps even for highly complex hand designs. Furthermore, it offers a unified approach for controlling different hands, even if the kinematic structures of the models are significantly different. We illustrate these concepts by building a comprehensive grasp planner that can be used on a large variety of robotic hands under various constraints."
432,landscape_1000,Automatic grasp planning using shape primitives,2004,,Andrew Miller; Steffen Knoop; Henrik I. Christensen; Peter K. Allen,https://doi.org/10.1109/robot.2003.1241860,https://openalex.org/W2118262422,https://openalex.org/W2118262422,715,1,robot planning constraints,47.9737,GRASP; Reachability; Object (grammar); Computer science; Set (abstract data type); Robot; Plan (archaeology); Prehensile tail; Task (project management); Computer vision; Artificial intelligence; Motion planning,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Automatic grasp planning for robotic hands is a difficult problem because of the huge number of possible hand configurations. However, humans simplify the problem by choosing an appropriate prehensile posture appropriate for the object and task to be performed. By modeling an object as a set of shape primitives, such as spheres, cylinders, cones and boxes, we can use a set of rules to generate a set of grasp starting positions and pregrasp shapes that can then be tested on the object model. Each grasp is tested and evaluated within our grasping simulator ""GraspIt!"", and the best grasps are presented to the user. The simulator can also plan grasps in a complex environment involving obstacles and the reachability constraints of a robot arm."
433,landscape_1000,Task-constrained motion planning with moving obstacles,2013,,Massimo Cefalo; Giuseppe Oriolo; Marilena Vendittelli,https://doi.org/10.1109/iros.2013.6697190,https://openalex.org/W1976952767,https://openalex.org/W1976952767,27,2,task and motion planning constraints,47.9322,Motion planning; Constraint (computer-aided design); Task (project management); Computer science; Motion (physics); Dimension (graph theory); Robot; Mobile robot; Motion control; Planner; Artificial intelligence; Computer vision,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"We consider the problem of planning the motion of redundant robotic systems subject to geometric task constraints in the presence of obstacles moving along known trajectories. Building on our previous results on task-constrained motion planning, we propose a control-based motion planner that works directly in the task-constrained configuration space extended with the time dimension. The generated trajectories are collision-free and satisfy the task constraint with arbitrary accuracy. Bounds on the achievable generalized velocities may also be taken into account. The proposed approach is validated through planning experiments on a 7-dof articulated robot and an 8-dof mobile manipulator."
434,landscape_1000,A Motion Planning Approach for Nonprehensile Manipulation and Locomotion Tasks of a Legged Robot,2020,IEEE Transactions on Robotics,Guoteng Zhang; Shugen Ma; Yayi Shen; Yibin Li,https://doi.org/10.1109/tro.2019.2961049,https://openalex.org/W3004896785,https://openalex.org/W3004896785,26,2,task and motion planning constraints,47.8958,Underactuation; Robot; Control theory (sociology); Motion planning; Computer science; Control engineering; Acceleration; Inertial frame of reference; Motion control; Simulation; Engineering; Artificial intelligence,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Nonprehensile manipulation produces underconstraint motions that are sensitive to environmental dynamics. Legged locomotion constitutes a floating-based movement, whose dynamic is underactuated with respect to the inertial frame. When these two tasks are combined, system motion planning and control are complex due to their inherent underactuated features. This article presents a motion planning framework for a legged robot that uses its limbs for nonprehensile manipulation, as well as locomoting motions. First, issues related to the description of the robot-object-environment system and the task are presented. The velocity constraint that prevents separation and the force constraint that restricts interactive forces are then integrated into the system dynamic model to produce bounds on the system acceleration as a function of the system s"
435,landscape_1000,Classical and Heuristic Approaches for Mobile Robot Path Planning: A Survey,2023,Robotics,Jaafar Ahmed Abdulsaheb; Dheyaa Jasim Kadhim,https://doi.org/10.3390/robotics12040093,https://openalex.org/W4382402823,https://openalex.org/W4382402823,98,5,constraint discovery robot planning,47.8951,Motion planning; Cuckoo search; Ant colony optimization algorithms; Mobile robot; Computer science; Robot; Artificial intelligence; Heuristic; Path (computing); Shortest path problem; Genetic algorithm; Mathematical optimization,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Continuous constrained optimization over trajectories or controls.,continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"The most important research area in robotics is navigation algorithms. Robot path planning (RPP) is the process of choosing the best route for a mobile robot to take before it moves. Finding an ideal or nearly ideal path is referred to as “path planning optimization.” Finding the best solution values that satisfy a single or a number of objectives, such as the shortest, smoothest, and safest path, is the goal. The objective of this study is to present an overview of navigation strategies for mobile robots that utilize three classical approaches, namely: the roadmap approach (RM), cell decomposition (CD), and artificial potential fields (APF), in addition to eleven heuristic approaches, including the genetic algorithm (GA), ant colony optimization (ACO), artificial bee colony (ABC), gray wolf optimization (GWO), shuffled frog-leaping algor"
436,landscape_1000,An autonomous robotic assistant for drinking,2015,,Sebastian Schröer; Ingo Killmann; Barbara Frank; Martin A. Volker; Lukas D. J. Fiederer; Tonio Ball; et al.,https://doi.org/10.1109/icra.2015.7140110,https://openalex.org/W1718442951,https://openalex.org/W1718442951,68,2,contact constraints manipulation planning,47.8341,Computer science; Robot; Human–computer interaction; Graphical user interface; Artificial intelligence; Robotic arm; Interface (matter); Electroencephalography; Brain–computer interface; Computer vision; Simulation; Physical medicine and rehabilitation,"Plan manipulation under contact, grasp, object, and support constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",the planner's constraint set is either known or discoverable during ordinary search,object affordances/contact modes,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,the broad claim that robot planning benefits from explicit constraints,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Stroke and neurodegenerative diseases, among a range of other neurologic disorders, can cause chronic paralysis. Patients suffering from paralysis may remain unable to achieve even basic everyday tasks such as liquid intake. Currently, there is a great interest in developing robotic assistants controlled via brain-machine interfaces (BMIs) to restore the ability to perform such tasks. This paper describes an autonomous robotic assistant for liquid intake. The components of the system include autonomous online detection both of the cup to be grasped and of the mouth of the user. It plans motions of the robot arm under the constraints that the cup stays upright while moving towards the mouth and that the cup stays in direct contact with the user's mouth while the robot tilts it during the drinking phase. To achieve this, our system also inc"
437,landscape_1000,A Survey on Swarming With Micro Air Vehicles: Fundamental Challenges and Constraints,2020,Frontiers in Robotics and AI,Mario Coppola; Kimberly McGuire; Christophe De Wagter; Guido de Croon,https://doi.org/10.3389/frobt.2020.00018,https://openalex.org/W3009014935,https://openalex.org/W3009014935,124,5,geometric constraints task motion planning,47.8283,Computer science; Swarm behaviour; Robustness (evolution); Swarm robotics; Artificial intelligence; Robotics; Unobservable; Collision avoidance; Robot; Distributed computing; Computer security; Collision,"Improve planning for embodied agents under physical, semantic, or learned constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",the planner's constraint set is either known or discoverable during ordinary search,constraint vocabulary and state abstraction,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,the broad claim that robot planning benefits from explicit constraints,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"This work presents a review and discussion of the challenges that must be solved in order to successfully develop swarms of Micro Air Vehicles (MAVs) for real world operations. From the discussion, we extract constraints and links that relate the local level MAV capabilities to the global operations of the swarm. These should be taken into account when designing swarm behaviors in order to maximize the utility of the group. At the lowest level, each MAV should operate safely. Robustness is often hailed as a pillar of swarm robotics, and a minimum level of local reliability is needed for it to propagate to the global level. An MAV must be capable of autonomous navigation within an environment with sufficient trustworthiness before the system can be scaled up. Once the operations of the single MAV are sufficiently secured for a task, the su"
438,landscape_1000,Minimum-time control of robotic manipulators with geometric path constraints,1985,IEEE Transactions on Automatic Control,Kang G. Shin; Neil David McKay,https://doi.org/10.1109/tac.1985.1104009,https://openalex.org/W1970412155,https://openalex.org/W1970412155,993,1,robot planning constraints,47.8017,Control theory (sociology); Motion planning; Trajectory; Path (computing); Torque; Parametric statistics; Computer science; Position (finance); Robot; Parametric equation; Mathematics; Mathematical optimization,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Continuous constrained optimization over trajectories or controls.,continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Conventionally, robot control algorithms are divided into two stages, namely, path or trajectory planning and path tracking (or path control). This division has been adopted mainly as a means of alleviating difficulties in dealing with complex, coupled manipulator dynamics. Trajectory planning usually determines the timing of manipulator position and velocity without considering its dynamics. Consequently, the simplicity obtained from the division comes at the expense of efficiency in utilizing robot's capabilities. To remove at least partially this inefficiency, this paper considers a solution to the problem of moving a manipulator in minimum time along a specified geometric path subject to input torque/force constraints. We first describe the manipulator dynamics using parametric functions which represent geometric path constraints to b"
439,landscape_1000,MOPL: A multi-modal path planner for generic manipulation tasks,2015,,Sören Jentzsch; Andre Gaschler; Oussama Khatib; Alois Knoll,https://doi.org/10.1109/iros.2015.7354263,https://openalex.org/W2216367294,https://openalex.org/W2216367294,10,1,contact constraints manipulation planning,47.7979,Computer science; Planner; Modal; Path (computing); Motion planning; Action (physics); Robot; Kinematics; Linear subspace; Artificial intelligence; Distributed computing; Theoretical computer science,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"For intelligent robots to solve real-world tasks, they need to manipulate multiple objects, and perform diverse manipulation actions apart from rigid transfers, such as pushing and sliding. Planning these tasks requires discrete changes between actions, and continuous, collision-free paths that fulfill action-specific constraints. In this work, we propose a multi-modal path planner, named MOPL, which accepts generic definitions of primitive actions with different types of contact manifolds, and randomly spans its search trees through these subspaces. Our evaluation shows that this generic search technique allows MOPL to solve several challenging scenarios over different types of kinematics and tools with reasonable performance. Furthermore, we demonstrate MOPL by solving and executing plans in two real-world experimental setups."
440,landscape_1000,Real-time Footstep Planning and Control of the Solo Quadruped Robot in 3D Environments,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Fanny Risbourg; Thomas Corbères; Pierre‐Alexandre Léziart; Thomas Flayols; Nicolas Mansard; Steve Tonneau,https://doi.org/10.1109/iros47612.2022.9981539,https://openalex.org/W4226250682,https://openalex.org/W4226250682,17,2,legged robot planning terrain constraints,47.7904,Robot; Robustness (evolution); Terrain; Computer science; Kinematics; Motion planning; Controller (irrigation); Planner; Control theory (sociology); Simulation; Control engineering; Control (management),"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Quadruped robots have proved their robustness to cross complex terrain despite little environment knowledge. Yet advanced locomotion controllers are expected to take advantage of exteroceptive information. This paper presents a complete method to plan and control the locomotion of quadruped robots when 3D information about the surrounding obstacles is available, based on several stages of decision. We first propose a contact planner formulated as a mixed-integer program, optimized on-line at each new robot step. It selects a surface from a set of convex surfaces describing the environment for the next footsteps while ensuring kinematic constraints. We then propose to optimize the exact contact location and the feet trajectories at control frequency to avoid obstacles, thanks to an efficient formulation of quadratic programs optimizing Bez"
441,landscape_1000,Real-time randomized path planning for robot navigation,2003,,James Bruce; Manuela Veloso,https://doi.org/10.1109/irds.2002.1041624,https://openalex.org/W2519453022,https://openalex.org/W2519453022,318,2,robot planning constraints,47.7652,Computer science; Motion planning; Waypoint; Path (computing); Robot; Heuristic; Mobile robot; Planner; Domain (mathematical analysis); Any-angle path planning; Fast path; Real-time computing,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Sampling-based motion planning with constraint projection or rejection.,continuous constraints can be evaluated locally at sampled states; invalid plans can be repaired with tolerable execution/search cost,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,reactive repair once invalidity is observed; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Mobile robots often must find a trajectory to another position in their environment, subject to constraints. This is the problem of planning a path through a continuous domain Rapidly-exploring random trees (RRTs) are a recently developed representation on which fast continuous domain path planners can be based. In this work, we build a path planning system based on RRTs that interleaves planning and execution, first evaluating it in simulation and then applying it to physical robots. Our planning algorithm, ERRT (execution extended RRT), introduces two novel extensions of previous RRT work, the waypoint cache and adaptive cost penalty search, which improve replanning efficiency and the quality of generated paths. ERRT is successfully applied to a real-time multi-robot system. Results demonstrate that ERRT is significantly more efficient "
442,landscape_1000,An optimum robot path planning with payload constraints,2002,Robotica,Sezimária de Fátima Pereira Saramago; Marco Ceccarelli,https://doi.org/10.1017/s0263574702004162,https://openalex.org/W2091369456,https://openalex.org/W2091369456,37,1,robot planning constraints,47.7376,Payload (computing); Control theory (sociology); Motion planning; Robot; Torque; Trajectory; Nonlinear system; Actuator; Path (computing); Computer science; Control engineering; Engineering,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Continuous constrained optimization over trajectories or controls.,continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"This paper presents a general methodology for the off-line planning of optimal trajectory of robot manipulators by taking into account the grasping forces in the manipulator gripper. The mechanical energy of the actuators has been considered for the formulation of the objective function. The optimization problem has been formulated as subject to physical constraints, input torque/force constraints and payload constraints. The mathematical model takes into account the coupled nonlinear equations of manipulator motion. A numerical example shows the efficiency of the proposed procedure."
443,landscape_1000,Motion planning with sequential convex optimization and convex collision checking,2014,The International Journal of Robotics Research,John Schulman; Yan Duan; Jonathan Ho; Alex Pui‐Wai Lee; Ibrahim Awwal; Henry Bradlow; et al.,https://doi.org/10.1177/0278364914528132,https://openalex.org/W2142224528,https://openalex.org/W2142224528,840,10,robot planning constraints,47.7346,Motion planning; Computer science; Robot; Regular polygon; Humanoid robot; Configuration space; Collision; Trajectory; Mathematical optimization; Algorithm; Mathematics; Artificial intelligence,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Continuous constrained optimization over trajectories or controls.,continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"We present a new optimization-based approach for robotic motion planning among obstacles. Like CHOMP (Covariant Hamiltonian Optimization for Motion Planning), our algorithm can be used to find collision-free trajectories from naïve, straight-line initializations that might be in collision. At the core of our approach are (a) a sequential convex optimization procedure, which penalizes collisions with a hinge loss and increases the penalty coefficients in an outer loop as necessary, and (b) an efficient formulation of the no-collisions constraint that directly considers continuous-time safety Our algorithm is implemented in a software package called TrajOpt. We report results from a series of experiments comparing TrajOpt with CHOMP and randomized planners from OMPL, with regard to planning time and path quality. We consider motion planning"
444,landscape_1000,Path planning for endovascular catheterization under curvature constraints via two-phase searching approach,2021,International Journal of Computer Assisted Radiology and Surgery,Zhen Li; Jenny Dankelman; Elena De Momi,https://doi.org/10.1007/s11548-021-02328-x,https://openalex.org/W3134190427,https://openalex.org/W3134190427,27,2,safe robot planning constraints,47.7322,Curvature; Path (computing); Motion planning; Constraint (computer-aided design); Computer science; Algorithm; Robot; Mathematical optimization; Artificial intelligence; Mathematics; Geometry; Programming language,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Continuous constrained optimization over trajectories or controls.,continuous constraints can be evaluated locally at sampled states; invalid plans can be repaired with tolerable execution/search cost,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,reactive repair once invalidity is observed; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"PURPOSE: Planning a safe path for flexible catheters is one of the major challenges of endovascular catheterization. State-of-the-art methods rarely consider the catheter curvature constraint and reduced computational time of path planning which guarantees the possibility to re-plan the path during the actual operation. METHODS: In this manuscript, we propose a fast two-phase path planning approach under the robot curvature constraint. Firstly, the vascular structure is extracted and represented by vascular centerlines and corresponding vascular radii. Then, the path is searched along the vascular centerline using breadth first search (BFS) strategy and locally optimized via the genetic algorithm (GA) to satisfy the robot curvature constraint. This approach (BFS-GA) is able to respect the robot curvature constraint while keeping it close "
445,landscape_1000,Online Coverage Planning for an Autonomous Weed Mowing Robot With Curvature Constraints,2022,IEEE Robotics and Automation Letters,Parikshit Maini; Burak M. Gonultas; Volkan Isler,https://doi.org/10.1109/lra.2022.3154006,https://openalex.org/W3215839891,https://openalex.org/W3215839891,36,1,robot planning constraints,47.7109,Motion planning; Computer science; Path (computing); Weed; Robot; Field (mathematics); Curvature; Path length; Plan (archaeology); Mathematical optimization; Real-time computing; Simulation,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.",Continuous constrained optimization over trajectories or controls.,continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Thearea used for grazing cattle constitutes about one-third of the land in United States. In this paper, we present the design of Cowbot, an autonomous weed mowing robot for maintaining cow pastures. Cowbot is designed to operate in rugged environments and provides a cost-effective method for weed control in cow pastures. Path planning for the Cowbot is challenging since weed distribution on pastures is unknown. Given an onboard sensor with a limited field of view, online planning is necessary to detect weeds and plan paths to mow them. We study the general online coverage planning problem for an autonomous mower with curvature and field of view constraints. We develop two algorithms that are able to utilize new information on weed detection to optimize path length and ensure coverage. We deploy our algorithms on the Cowbot and perform fi"
446,landscape_1000,Modified Dynamic Movement Primitives: Robot Trajectory Planning and Force Control Under Curved Surface Constraints,2022,IEEE Transactions on Cybernetics,Liang Han; Han Yuan; Wenfu Xu; Yunzhi Huang,https://doi.org/10.1109/tcyb.2022.3158029,https://openalex.org/W4220767832,https://openalex.org/W4220767832,36,1,robot planning constraints,47.7109,Control theory (sociology); Trajectory; Robot; Controller (irrigation); Generalization; Convergence (economics); Computer science; Stability (learning theory); Coupling (piping); Mathematics; Motion control; Matrix similarity,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","A learned constraint or feasibility model used to bias, prune, or score plans.",training distribution covers deployment constraint activations; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; feature space and training labels,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active,learning constraints/feasibility models for planning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; separating constraint-family discovery from edge-by-edge verification,"Dynamic movement primitives (DMPs) have been widely applied in robot motion planning and control. However, in some special cases, original discrete DMP fails to generalize proper trajectories. Moreover, it is difficult to produce trajectories on the curved surface. To solve the above problems, a modified DMP method is proposed for robot control by adding the scaling factor and force coupling term. First, the adjusted cosine similarity is defined to assess the similarity of the generalized trajectory with respect to the demonstrated trajectory. By optimizing the similarity, the trajectories can be generated in all situations. Next, by adding the force coupling term derived from adaptive admittance control to the transformation system of the original DMP, the controller achieves the force control ability. Then, the modified DMP-based robot "
447,landscape_1000,Motion Planning Based on Learning From Demonstration for Multiple-Segment Flexible Soft Robots Actuated by Electroactive Polymers,2016,IEEE Robotics and Automation Letters,Hongqiang Wang; Jie Chen; Henry Y. K. Lau; Hongliang Ren,https://doi.org/10.1109/lra.2016.2521384,https://openalex.org/W2295877882,https://openalex.org/W2295877882,81,1,planning with learned models robotics,47.7067,Computer science; Kinematics; Motion planning; GRASP; Actuator; Artificial intelligence; Soft robotics; Robot; Inverse kinematics; Gaussian process; Computer vision; Gaussian,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Inverse learning from observed behavior to recover costs, constraints, or action parameters.",training distribution covers deployment constraint activations; demonstrations reveal the active constraints rather than only expert preferences; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; feature space and training labels,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"Multiple-segment flexible and soft robotic arms composed by ionic polymer--metal composite (IPMC) flexible actuators exhibit compliance but suffer from the difficulty of path planning due to their redundant degrees of freedom, although they are promising in complex tasks such as crossing body cavities to grasp objects. We propose a learning from demonstration method to plan the motion paths of IPMC-based manipulators, by statistics machine-learning algorithms. To encode demonstrated trajectories and estimate suitable paths for the manipulators to reproduce the task, models are built based on Gaussian mixture model and Gaussian mixture regression, respectively. The forward and inverse kinematic models of IPMC-based soft robotic arm are derived for the motion control. A flexible and soft robotic manipulator is implemented with six IPMC segm"
448,landscape_1000,Robot motion planning with many degrees of freedom and dynamic constraints,1991,International Symposium on Robotics,Jérôme Barraquand; B. Langlois; Jean‐Claude Latombe,,https://openalex.org/W1489831489,https://openalex.org/W1489831489,80,1,robot planning constraints,47.6944,Computer science; Motion planning; Degrees of freedom (physics and chemistry); Robot; Motion (physics); Artificial intelligence; Control theory (sociology); Computer vision; Control engineering; Engineering; Control (management); Physics,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,
449,landscape_1000,Motion planning for cooperating mobile manipulators,1999,Journal of Robotic Systems,Jaydev P. Desai; Vijay Kumar,https://doi.org/10.1002/(sici)1097-4563(199910)16:10<557::aid-rob3>3.0.co;2-h,https://openalex.org/W1974489012,https://openalex.org/W1974489012,47,1,constraint-based motion planning robotics,47.6712,Nonholonomic system; Kinematics; GRASP; Motion planning; Testbed; Motion (physics); Actuator; Computer science; Control theory (sociology); Control engineering; Torque; Mobile manipulator,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"We address the problem of motion planning for nonholonomic cooperating mobile robots manipulating and transporting objects while holding them in a stable grasp. We present a general approach for solving optimal control problems based on the calculus of variations. We specialize this approach to solving the motion planning problem and obtaining trajectories and actuator forces/torques for any maneuver in the presence of obstacles. The approach allows geometric constraints such as joint limits, kinematic constraints such as nonholonomic velocity constraints, and dynamic constraints such as frictional constraints and contact force constraints to be incorporated into the planning scheme. The application of this method is illustrated by computing motion plans for several examples, and these motions plans are implemented on an experimental test"
